"U.S. Border Patrol Blaine and Spokane Sectors' Apprehensions"|||||||||
"January 1, 2012 - June 30, 2019"|||||||||
"Data includes Deportable Aliens Only"|||||||||
"Data Source: EID (Unofficial) as of 9/30/19"|||||||||
|||||||||
|||||||||
"APPR_DT_TIME"|"SECTOR"|"APP_AGE"|"GENDER"|"COMPLEXION"|"HAIR_COLOR"|"EYE_COLOR"|"CITIZENSHIP"|"STATUS_WHEN_FOUND"|"CRIMINAL_ALIEN"
1/1/2012 11:34:00 AM|"BLW"|52|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"
1/1/2012 11:30:00 PM|"BLW"|31|"Male"|"MED"|"BRO"|"BRO"|"HONDURAS"|"TRAVEL/SEEKING"|"N"
1/2/2012 9:32:00 AM|"SPW"|20|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"
1/3/2012 9:30:00 AM|"BLW"|26|"Male"|"MED"|"BLK"|"BRO"|"COSTA RICA"|"IN TRAVEL"|"N"
1/3/2012 3:30:00 PM|"SPW"|31|"Male"|"MED"|"BRO"|"BLK"|"MEXICO"|"LIGHT INDUSTRY"|"N"
1/3/2012 11:15:00 PM|"BLW"|30|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"
1/3/2012 11:15:00 PM|"BLW"|21|"Male"|"MED"|"BRO"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"
1/4/2012 10:43:00 AM|"SPW"|25|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"
1/4/2012 12:00:00 PM|"SPW"|35|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"
1/4/2012 12:30:00 PM|"BLW"|57|"Male"|"MED"|"BLK"|"BRO"|"INDIA"|"TRAVEL/SEEKING"|"N"
1/4/2012 4:42:00 PM|"SPW"|29|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"
1/6/2012 10:56:00 AM|"SPW"|27|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"
1/6/2012 3:00:00 PM|"SPW"|23|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"
1/7/2012 11:45:00 AM|"BLW"|26|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"
1/7/2012 6:00:00 PM|"BLW"|39|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"
1/8/2012 9:38:00 PM|"BLW"|22|"Male"|"MBR"|"BLK"|"BRO"|"INDIA"|"TRAVEL/SEEKING"|"N"
1/8/2012 9:38:00 PM|"BLW"|35|"Male"|"MED"|"BLK"|"BRO"|"INDIA"|"TRAVEL/SEEKING"|"N"
1/8/2012 9:38:00 PM|"BLW"|35|"Female"|"MED"|"BLK"|"BRO"|"INDIA"|"TRAVEL/SEEKING"|"N"
1/8/2012 9:51:00 PM|"BLW"|31|"Male"|"LBR"|"BRO"|"BRO"|"INDIA"|"TRAVEL/SEEKING"|"N"
1/8/2012 9:51:00 PM|"BLW"|33|"Female"|"MED"|"BLK"|"BRO"|"INDIA"|"TRAVEL/SEEKING"|"N"
1/9/2012 11:45:00 AM|"SPW"|26|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"||"N"
1/9/2012 12:45:00 PM|"SPW"|20|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"
1/10/2012 8:58:00 AM|"SPW"|41|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"SERVICES"|"N"
1/10/2012 8:58:00 AM|"SPW"|17|"Female"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"
1/10/2012 8:58:00 AM|"SPW"|44|"Female"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"
1/10/2012 8:58:00 AM|"SPW"|15|"Female"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"
1/10/2012 12:00:00 PM|"BLW"|20|"Male"|"MED"|"BLK"|"BRO"|"GUATEMALA"|"IN INSTITUTION"|"N"
1/10/2012 8:36:00 PM|"BLW"|22|"Female"|"MED"|"BLK"|"BRO"|"INDIA"|"TRAVEL/SEEKING"|"N"
1/10/2012 9:37:00 PM|"BLW"|17|"Male"|"MED"|"BLK"|"BRO"|"INDIA"|"TRAVEL/SEEKING"|"N"
1/13/2012 7:00:00 AM|"SPW"|24|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"SERVICES"|"N"
1/13/2012 7:36:00 AM|"SPW"|25|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"SERVICES"|"N"
1/13/2012 11:25:00 AM|"BLW"|55|"Male"|"MED"|"BLK"|"BRO"|"CANADA"|"IN TRAVEL"|"N"
1/14/2012 6:30:00 PM|"BLW"|24|"Male"|"MBR"|"BRO"|"BRO"|"GUATEMALA"|"IN TRAVEL"|"N"
1/14/2012 9:25:00 PM|"BLW"|22|"Male"|"MED"|"BLK"|"BLK"|"MEXICO"|"IN TRAVEL"|"N"
1/16/2012 9:15:00 AM|"BLW"|34|"Male"|"MED"|"BLK"|"BRO"|"IRELAND"|"TRAVEL/SEEKING"|"N"
1/16/2012 12:00:00 PM|"SPW"|51|"Female"|"LGT"|"BRO"|"BRO"|"CANADA"|"TRAVEL/SEEKING"|"N"
1/16/2012 3:45:00 PM|"BLW"|32|"Male"|"MED"|"BLK"|"BRO"|"GUATEMALA"|"IN TRAVEL"|"N"
1/17/2012 10:55:00 AM|"SPW"|30|"Female"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"
1/18/2012 10:15:00 PM|"BLW"|17|"Male"|"MED"|"BLK"|"BRO"|"HONDURAS"|"IN TRAVEL"|"N"
1/18/2012 10:15:00 PM|"BLW"|37|"Male"|"MBR"|"BLK"|"BRO"|"HONDURAS"|"IN TRAVEL"|"N"
1/18/2012 10:15:00 PM|"BLW"|24|"Male"|"MED"|"BLK"|"BRO"|"HONDURAS"|"IN TRAVEL"|"N"
1/19/2012 6:15:00 AM|"SPW"|49|"Female"|"MED"|"BLK"|"BRO"|"MEXICO"|"SERVICES"|"N"
1/19/2012 6:15:00 AM|"SPW"|48|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"SERVICES"|"N"
1/19/2012 10:00:00 AM|"SPW"|33|"Male"|"MED"|"BLK"|"BLK"|"MEXICO"|"TRAVEL/SEEKING"|"N"
1/21/2012 10:11:00 PM|"BLW"|19|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"
1/23/2012 11:05:00 AM|"BLW"|24|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN TRAVEL"|"N"
1/23/2012 12:27:00 PM|"SPW"|22|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"
1/23/2012 2:16:00 PM|"SPW"|27|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"
1/23/2012 3:55:00 PM|"BLW"|36|"Male"|"MED"|"BLK"|"BRO"|"CANADA"|"TRAVEL/SEEKING"|"N"
1/23/2012 3:55:00 PM|"BLW"|43|"Male"|"MED"|"BLK"|"BRO"|"PHILIPPINES"|"TRAVEL/SEEKING"|"N"
1/23/2012 4:08:00 PM|"BLW"|36|"Male"|"MED"|"BLK"|"BRO"|"CANADA"||"N"
1/23/2012 6:36:00 PM|"BLW"|32|"Male"|"MED"|"BLK"|"BRO"|"INDIA"|"TRAVEL/SEEKING"|"N"
