"U.S. Border Patrol Blaine and Spokane Sectors' Processed Subjects in I-44 Events"||||||||||
"January 1, 2012 - June 30, 2019"||||||||||
"Data includes Deportable and Non-Deportable Processed Subjects"||||||||||
"Data Source: EID (Unofficial) as of 9/30/19"||||||||||
||||||||||
||||||||||
"APPR_DT_TIME"|"SECTOR"|"APP_AGE"|"GENDER"|"COMPLEXION"|"HAIR_COLOR"|"EYE_COLOR"|"CITIZENSHIP"|"STATUS_WHEN_FOUND"|"CRIMINAL_ALIEN"|"DEPORTABLE"
1/2/2012 11:00:00 AM|"BLW"|30|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
1/3/2012 9:00:00 AM|"SPW"||"Unknown"||||"UNKNOWN"||"N"|"N"
1/4/2012 12:45:00 AM|"BLW"|19|"Male"||"BLN"|"BLU"|"UNITED STATES"||"N"|"N"
1/5/2012 9:00:00 AM|"BLW"|44|"Male"|"MED"|"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
1/5/2012 1:00:00 PM|"SPW"||"Unknown"||||"UNKNOWN"||"N"|"N"
1/8/2012 5:50:00 AM|"BLW"|25|"Male"|"MED"|"BLK"|"BRO"|"GUATEMALA"|"IN TRAVEL"|"N"|"N"
1/10/2012 5:24:00 PM|"BLW"|15|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
1/11/2012 8:30:00 PM|"BLW"|25|"Male"||"BRO"|"BRO"|"GUATEMALA"||"N"|"N"
1/12/2012 9:00:00 AM|"BLW"|51|"Female"||"BRO"|"HAZ"|"UNITED STATES"||"N"|"N"
1/12/2012 9:00:00 AM|"BLW"|43|"Female"||"BLN"|"BLU"|"UNITED STATES"||"N"|"N"
1/12/2012 5:00:00 PM|"BLW"|36|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
1/13/2012 4:19:00 PM|"BLW"|33|"Male"||"BRO"|"GRN"|"UNITED STATES"||"N"|"N"
1/16/2012 3:45:00 PM|"BLW"|32|"Male"|"MED"|"BLK"|"BRO"|"GUATEMALA"|"IN TRAVEL"|"N"|"Y"
1/21/2012 7:37:00 AM|"BLW"|34|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
1/23/2012 7:39:00 PM|"BLW"|20|"Male"||"BLK"|"BRO"|"SAUDI ARABIA"||"N"|"N"
1/23/2012 11:45:00 PM|"SPW"|18|"Male"||||"UNITED STATES"||"N"|"N"
1/24/2012 2:29:00 PM|"BLW"|43|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
1/24/2012 2:29:00 PM|"BLW"|40|"Male"||"BLK"|"GRN"|"UNITED STATES"||"N"|"N"
1/24/2012 2:29:00 PM|"BLW"|50|"Male"||"BLK"|"HAZ"|"UNITED STATES"||"N"|"N"
1/24/2012 8:52:00 PM|"SPW"|20|"Male"||"BLK"|"BLU"|"UNITED STATES"||"N"|"N"
1/24/2012 8:52:00 PM|"SPW"|19|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
1/25/2012 2:05:00 AM|"BLW"|45|"Male"||"BRO"|"HAZ"|"UNITED STATES"||"N"|"N"
1/27/2012 6:51:00 AM|"SPW"|57|"Male"||"WHI"|"BLU"|"UNITED STATES"||"N"|"N"
1/27/2012 6:30:00 PM|"BLW"|31|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
1/27/2012 6:30:00 PM|"BLW"|45|"Female"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
1/29/2012 9:05:00 PM|"BLW"|40|"Male"||"BLD"|"BLK"|"UNITED STATES"||"N"|"N"
1/29/2012 9:05:00 PM|"BLW"|11|"Male"||"BLK"|"BLK"|"UNITED STATES"||"N"|"N"
1/30/2012 12:57:00 AM|"BLW"|29|"Male"|"MED"|"BLK"|"BRO"|"IRAN"|"IN TRAVEL"|"N"|"Y"
1/30/2012 10:27:00 AM|"SPW"|20|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
1/30/2012 10:27:00 AM|"SPW"|22|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
1/30/2012 10:27:00 AM|"SPW"|19|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
1/31/2012 6:30:00 PM|"BLW"|37|"Female"|"MED"|"BLK"|"BRO"|"GUATEMALA"|"IN TRAVEL"|"N"|"Y"
1/31/2012 8:41:00 PM|"BLW"|32|"Male"|"MED"|"BLK"|"BRO"|"GUATEMALA"|"IN TRAVEL"|"N"|"Y"
1/31/2012 8:41:00 PM|"BLW"|29|"Male"|"MED"|"BLK"|"BRO"|"GUATEMALA"|"AGRICULTURE"|"N"|"Y"
2/1/2012 7:27:00 AM|"SPW"|31|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
2/1/2012 8:17:00 PM|"BLW"|18|"Male"||"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"|"Y"
2/2/2012 2:00:00 PM|"BLW"|37|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
2/2/2012 10:35:00 PM|"BLW"|31|"Female"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
2/2/2012 10:35:00 PM|"BLW"|30|"Male"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
2/3/2012 2:33:00 PM|"BLW"|53|"Male"||"GRY"|"BLU"|"UNITED STATES"||"N"|"N"
2/3/2012 4:10:00 PM|"BLW"|40|"Unknown"||||"UNITED STATES"||"N"|"N"
2/6/2012 9:07:00 AM|"SPW"|42|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"|"Y"
2/9/2012 4:00:00 AM|"SPW"|18|"Female"||"BLK"|"BRO"|"CANADA"||"N"|"N"
2/9/2012 4:00:00 AM|"SPW"|16|"Female"||"BLK"|"BRO"|"CANADA"||"N"|"N"
2/9/2012 11:14:00 PM|"BLW"|22|"Female"||"BRO"|"BRO"|"UNITED STATES"||"N"|"N"
2/10/2012 7:05:00 AM|"SPW"|44|"Male"|"MED"|"BRO"|"BRO"|"MEXICO"|"AGRICULTURE"|"N"|"Y"
2/13/2012 3:00:00 AM|"SPW"|18|"Female"|"MED"|"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
2/13/2012 6:16:00 AM|"BLW"||"Unknown"||||"UNITED STATES"||"N"|"N"
2/13/2012 6:16:00 AM|"BLW"|31|"Male"||"BRO"|"BLU"|"UNITED STATES"||"N"|"N"
2/14/2012 12:58:00 PM|"BLW"|27|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"IN INSTITUTION"|"N"|"Y"
2/15/2012 2:03:00 AM|"BLW"|33|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"SEEKING EMPLOYMENT"|"N"|"Y"
2/15/2012 9:00:00 AM|"BLW"|19|"Male"||"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
2/16/2012 9:30:00 AM|"BLW"|53|"Male"||"BLN"|"BLU"|"UNITED STATES"||"N"|"N"
2/16/2012 8:00:00 PM|"BLW"|33|"Male"|"LBR"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
2/16/2012 8:00:00 PM|"BLW"|28|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
2/16/2012 8:00:00 PM|"BLW"|28|"Male"|"MED"|"BLK"|"BRO"|"MEXICO"|"TRAVEL/SEEKING"|"N"|"Y"
2/16/2012 8:00:00 PM|"BLW"|25|"Male"|"LBR"|"BLK"|"BRO"|"UNITED STATES"||"N"|"N"
2/18/2012 12:54:00 PM|"BLW"|22|"Female"||"BRO"|"BRO"|"EL SALVADOR"||"N"|"N"
