United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2009
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|342|302|317|401|383|382|407|314|343|413|358|463|4,425

New Orleans|386|267|309|259|282|429|317|257|264|253|271|233|3,527

Ramey|114|34|27|27|21|42|26|11|50|5|58|3|418

Blaine|103|93|68|96|68|85|61|65|39|49|67|49|843

Buffalo|254|210|201|176|194|220|225|263|250|198|240|241|2,672

Detroit|120|62|63|78|118|99|97|91|80|117|122|110|1,157

Grand Forks|52|53|37|29|26|29|22|41|35|50|49|49|472

Havre|31|21|11|29|30|23|30|21|31|22|18|16|283

Houlton|1|8|13|3|0|4|4|4|2|8|4|8|59

Spokane|32|44|22|20|18|14|15|16|17|19|38|22|277

Swanton|65|80|106|36|77|71|74|111|99|125|104|95|1,043
Big Bend
539|459|472|533|689|590|458|511|569|484|575|481|6,360
(formerly Marfa)
Del Rio|1,321|1,064|872|1,604|1,908|2,231|1,619|1,426|1,304|1,383|1,321|1,029|17,082

El Centro|2,619|2,176|1,691|2,969|2,904|4,141|3,314|2,955|2,811|2,449|2,767|2,725|33,521

El Paso|1,469|1,153|866|1,344|1,435|1,508|1,344|1,238|1,208|1,160|1,181|1,093|14,999

Laredo|2,709|2,465|1,932|3,970|3,718|4,538|4,168|3,722|3,283|3,512|3,671|2,881|40,569
Rio Grande Valley
5,092|4,259|3,341|4,575|5,207|5,479|6,107|5,293|5,094|5,509|6,025|5,008|60,989
(formerly McAllen)
San Diego|10,036|7,954|6,552|10,246|11,678|16,472|12,618|11,000|10,278|8,655|6,743|6,489|118,721

Tucson|18,814|12,844|9,862|18,649|20,941|31,432|28,072|24,083|20,842|20,146|20,810|15,178|241,673

Yuma|339|406|359|612|731|951|793|656|655|545|429|475|6,951

Coastal Border|842|603|653|687|686|853|750|582|657|671|687|699|8,370

Northern Border|658|571|521|467|531|545|528|612|553|588|642|590|6,806

Southwest Border|42,938|32,780|25,947|44,502|49,211|67,342|58,493|50,884|46,044|43,843|43,522|35,359|540,865

Monthly Total|44,438|33,954|27,121|45,656|50,428|68,740|59,771|52,078|47,254|45,102|44,851|36,648|556,041
*Livermore Sector was closed after FY 2004

