United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2015

Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|90|50|143|121|79|116|101|110|203|168|346|225|1,752

New Orleans|115|98|100|79|78|35|39|75|71|72|32|55|849

Ramey|55|76|32|71|12|60|44|25|39|74|9|60|557

Blaine|37|47|29|25|20|16|14|19|17|23|23|12|282

Buffalo|28|34|35|21|19|20|15|16|18|40|27|18|291

Detroit|75|68|109|42|35|30|44|36|72|32|54|40|637

Grand Forks|87|78|72|53|74|65|73|40|40|76|69|62|789

Havre|5|3|3|3|10|6|5|3|2|2|18|4|64

Houlton|1|2|8|4|6|0|3|0|0|4|2|2|32

Spokane|24|15|10|15|23|12|15|14|7|18|13|24|190

Swanton|26|23|25|6|19|27|14|16|35|39|68|43|341
Big Bend
302|232|336|233|330|453|438|567|373|428|600|739|5,031
(formerly Marfa)
Del Rio|1,246|985|1,051|985|1,291|1,718|2,100|2,083|1,928|1,752|1,918|1,956|19,013

El Centro|894|842|980|902|991|1,355|1,244|1,295|1,063|1,072|1,058|1,124|12,820

El Paso|904|924|921|874|859|1,455|1,516|1,335|1,410|1,417|1,436|1,444|14,495

Laredo|3,276|2,540|2,367|2,776|2,864|3,093|3,497|3,127|2,958|3,110|3,072|3,208|35,888
Rio Grande Valley
12,031|11,466|11,035|8,425|9,557|11,817|12,602|14,103|13,750|13,719|14,750|14,002|147,257
(formerly McAllen)
San Diego|2,133|1,924|2,280|2,111|2,466|2,876|2,284|2,308|2,081|1,985|1,883|1,959|26,290

Tucson|5,261|5,303|5,610|4,869|5,553|6,256|5,543|6,105|5,081|4,071|4,733|5,012|63,397

Yuma|403|425|439|339|465|768|526|653|659|834|789|842|7,142

Coastal Border|260|224|275|271|169|211|184|210|313|314|387|340|3,158

Northern Border|283|270|291|169|206|176|183|144|191|234|274|205|2,626

Southwest Border|26,450|24,641|25,019|21,514|24,376|29,791|29,750|31,576|29,303|28,388|30,239|30,286|331,333

Monthly Total|26,993|25,135|25,585|21,954|24,751|30,178|30,117|31,930|29,807|28,936|30,900|30,831|337,117
*Livermore Sector was closed after FY 2004

